sample;annotation
13 шт, 433 г.;[(7, 10, 'B-VOLUME'), (11, 13, 'I-VOLUME')]
1000 ml;[(0, 4, 'B-VOLUME'), (5, 7, 'I-VOLUME')]
36 g;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
205 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
38г;[(0, 3, 'B-VOLUME')]
80г;[(0, 3, 'B-VOLUME')]
100г;[(0, 4, 'B-VOLUME')]
100г;[(0, 4, 'B-VOLUME')]
100г;[(0, 4, 'B-VOLUME')]
90г;[(0, 3, 'B-VOLUME')]
100г;[(0, 4, 'B-VOLUME')]
125г;[(0, 4, 'B-VOLUME')]
0.5 л;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
36г;[(0, 3, 'B-VOLUME')]
50 g;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
50 g;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
50 g;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
40g;[(0, 3, 'B-VOLUME')]
700g;[(0, 4, 'B-VOLUME')]
220 гр;[(0, 3, 'B-VOLUME'), (4, 6, 'I-VOLUME')]
828 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
1000 г;[(0, 4, 'B-VOLUME'), (5, 6, 'I-VOLUME')]
36 g;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
100g;[(0, 4, 'B-VOLUME')]
340г;[(0, 4, 'B-VOLUME')]
1л;[(0, 2, 'B-VOLUME')]
96г;[(0, 3, 'B-VOLUME')]
150г;[(0, 4, 'B-VOLUME')]
100г;[(0, 4, 'B-VOLUME')]
100г;[(0, 4, 'B-VOLUME')]
80г;[(0, 3, 'B-VOLUME')]
100 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
70г;[(0, 3, 'B-VOLUME')]
36 g;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
36 g;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
3л;[(0, 2, 'B-VOLUME')]
2л;[(0, 2, 'B-VOLUME')]
100г;[(0, 4, 'B-VOLUME')]
300г;[(0, 4, 'B-VOLUME')]
100г;[(0, 4, 'B-VOLUME')]
100г;[(0, 4, 'B-VOLUME')]
100г;[(0, 4, 'B-VOLUME')]
215 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
40 г.;[(0, 2, 'B-VOLUME'), (3, 5, 'I-VOLUME')]
220 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
300г;[(0, 4, 'B-VOLUME')]
250 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
0.5л;[(0, 4, 'B-VOLUME')]
125 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
125 G;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
70грамм;[(0, 7, 'B-VOLUME')]
70гр;[(0, 4, 'B-VOLUME')]
2010g;[(0, 5, 'B-VOLUME')]
220 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
1l;[(0, 2, 'B-VOLUME')]
1 банка 360 гр;[(8, 11, 'B-VOLUME'), (12, 14, 'I-VOLUME')]
1 пляшка 1,5 л;[(9, 12, 'B-VOLUME'), (13, 14, 'I-VOLUME')]
1 уп. 100 г;[(0, 1, 'B-VOLUME'), (2, 5, 'I-VOLUME'), (6, 9, 'B-VOLUME'), (10, 11, 'I-VOLUME')]
200 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
240 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
160 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
120 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
150 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
180 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
350 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
230 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
180 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
1,5л;[(0, 4, 'B-VOLUME')]
325г;[(0, 4, 'B-VOLUME')]
340г;[(0, 4, 'B-VOLUME')]
80г;[(0, 3, 'B-VOLUME')]
200 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
180г;[(0, 4, 'B-VOLUME')]
180 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
75 г;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
40 г;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
70 г;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
85 г;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
400 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
100 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
18,2 г.;[(0, 4, 'B-VOLUME'), (5, 7, 'I-VOLUME')]
1kg;[(0, 3, 'B-VOLUME')]
800g;[(0, 4, 'B-VOLUME')]
360 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
500 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
200 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
1,9л;[(0, 4, 'B-VOLUME')]
200g;[(0, 4, 'B-VOLUME')]
70g;[(0, 3, 'B-VOLUME')]
800g;[(0, 4, 'B-VOLUME')]
280 г 100 цукерок;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
190g;[(0, 4, 'B-VOLUME')]
680 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
70 g;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
500g;[(0, 4, 'B-VOLUME')]
1l;[(0, 2, 'B-VOLUME')]
180 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
125г;[(0, 4, 'B-VOLUME')]
1л;[(0, 2, 'B-VOLUME')]
1л;[(0, 2, 'B-VOLUME')]
1л;[(0, 2, 'B-VOLUME')]
1л;[(0, 2, 'B-VOLUME')]
2л;[(0, 2, 'B-VOLUME')]
1л;[(0, 2, 'B-VOLUME')]
190г;[(0, 4, 'B-VOLUME')]
150г;[(0, 4, 'B-VOLUME')]
100г;[(0, 4, 'B-VOLUME')]
100г;[(0, 4, 'B-VOLUME')]
160g;[(0, 4, 'B-VOLUME')]
100g;[(0, 4, 'B-VOLUME')]
100g;[(0, 4, 'B-VOLUME')]
100g;[(0, 4, 'B-VOLUME')]
60g;[(0, 3, 'B-VOLUME')]
60g;[(0, 3, 'B-VOLUME')]
50g;[(0, 3, 'B-VOLUME')]
80g;[(0, 3, 'B-VOLUME')]
80g;[(0, 3, 'B-VOLUME')]
30g;[(0, 3, 'B-VOLUME')]
60g;[(0, 3, 'B-VOLUME')]
30g;[(0, 3, 'B-VOLUME')]
60g;[(0, 3, 'B-VOLUME')]
45g;[(0, 3, 'B-VOLUME')]
80g;[(0, 3, 'B-VOLUME')]
70g;[(0, 3, 'B-VOLUME')]
45g;[(0, 3, 'B-VOLUME')]
70g;[(0, 3, 'B-VOLUME')]
175g;[(0, 4, 'B-VOLUME')]
100г;[(0, 4, 'B-VOLUME')]
100г;[(0, 4, 'B-VOLUME')]
70g;[(0, 3, 'B-VOLUME')]
170g;[(0, 4, 'B-VOLUME')]
170g;[(0, 4, 'B-VOLUME')]
240g;[(0, 4, 'B-VOLUME')]
240g;[(0, 4, 'B-VOLUME')]
105г;[(0, 4, 'B-VOLUME')]
150g;[(0, 4, 'B-VOLUME')]
75г;[(0, 3, 'B-VOLUME')]
75г;[(0, 3, 'B-VOLUME')]
75г;[(0, 3, 'B-VOLUME')]
1l;[(0, 2, 'B-VOLUME')]
1l;[(0, 2, 'B-VOLUME')]
100g;[(0, 4, 'B-VOLUME')]
360g;[(0, 4, 'B-VOLUME')]
350g;[(0, 4, 'B-VOLUME')]
400g;[(0, 4, 'B-VOLUME')]
280 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
115g;[(0, 4, 'B-VOLUME')]
200 мл;[(0, 3, 'B-VOLUME'), (4, 6, 'I-VOLUME')]
200 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
350 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
1л;[(0, 2, 'B-VOLUME')]
200 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
900 мл;[(0, 3, 'B-VOLUME'), (4, 6, 'I-VOLUME')]
510 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
50 г;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
380 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
1 l.;[(0, 1, 'B-VOLUME'), (2, 4, 'I-VOLUME')]
420г;[(0, 4, 'B-VOLUME')]
1 кг;[(0, 1, 'B-VOLUME'), (2, 4, 'I-VOLUME')]
100g;[(0, 4, 'B-VOLUME')]
250 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
70гр;[(0, 4, 'B-VOLUME')]
50 g;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
70г;[(0, 3, 'B-VOLUME')]
140 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
200 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
200 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
150 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
150 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
140г;[(0, 4, 'B-VOLUME')]
112,5g;[(0, 6, 'B-VOLUME')]
40 g;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
32 g;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
60g;[(0, 3, 'B-VOLUME')]
70 g;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
270 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
180г;[(0, 4, 'B-VOLUME')]
0,200 кг;[(0, 5, 'B-VOLUME'), (6, 8, 'I-VOLUME')]
0,650 кг;[(0, 5, 'B-VOLUME'), (6, 8, 'I-VOLUME')]
70 g;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
600g;[(0, 4, 'B-VOLUME')]
400g;[(0, 4, 'B-VOLUME')]
140g;[(0, 4, 'B-VOLUME')]
250 грамм;[(0, 3, 'B-VOLUME'), (4, 9, 'I-VOLUME')]
350 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
510 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
60 г;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
75 г;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
0,420 кг;[(0, 5, 'B-VOLUME'), (6, 8, 'I-VOLUME')]
0,75 л;[(0, 4, 'B-VOLUME'), (5, 6, 'I-VOLUME')]
340 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
1000г;[(0, 5, 'B-VOLUME')]
45 г;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
1,5 л;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
400 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
250g;[(0, 4, 'B-VOLUME')]
250 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
60 g;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
60 g;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
180г;[(0, 4, 'B-VOLUME')]
1,15л;[(0, 5, 'B-VOLUME')]
900 мл;[(0, 3, 'B-VOLUME'), (4, 6, 'I-VOLUME')]
1л;[(0, 2, 'B-VOLUME')]
90 g;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
470 г (15 шт.);[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
1l;[(0, 2, 'B-VOLUME')]
50 g;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
300 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
100 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
34 g;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
100 грамм;[(0, 3, 'B-VOLUME'), (4, 9, 'I-VOLUME')]
360г;[(0, 4, 'B-VOLUME')]
500ml;[(0, 5, 'B-VOLUME')]
50g;[(0, 3, 'B-VOLUME')]
0,650 кг;[(0, 5, 'B-VOLUME'), (6, 8, 'I-VOLUME')]
510 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
85 г;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
180 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
150 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
200 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
60g;[(0, 3, 'B-VOLUME')]
85 g;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
85 грамм;[(0, 2, 'B-VOLUME'), (3, 8, 'I-VOLUME')]
180 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
600 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
200g;[(0, 4, 'B-VOLUME')]
1l;[(0, 2, 'B-VOLUME')]
1l;[(0, 2, 'B-VOLUME')]
260 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
объем 1 масса нетто 920 г.;[(20, 23, 'B-VOLUME'), (24, 26, 'I-VOLUME')]
350мл;[(0, 5, 'B-VOLUME')]
20 таблеток 80 г;[(12, 14, 'B-VOLUME'), (15, 16, 'I-VOLUME')]
433 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
400 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
0,75 л;[(0, 4, 'B-VOLUME'), (5, 6, 'I-VOLUME')]
280 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
290 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
120 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
350 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
60 г;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
158g;[(0, 4, 'B-VOLUME')]
250g;[(0, 4, 'B-VOLUME')]
100 грамм;[(0, 3, 'B-VOLUME'), (4, 9, 'I-VOLUME')]
340 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
12g;[(0, 3, 'B-VOLUME')]
95 г;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
50 г;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
150 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
250 грамм;[(0, 3, 'B-VOLUME'), (4, 9, 'I-VOLUME')]
200 грамм;[(0, 3, 'B-VOLUME'), (4, 9, 'I-VOLUME')]
1кг;[(0, 3, 'B-VOLUME')]
100 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
400 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
65 г;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
225 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
500 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
75 г;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
40 g;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
100 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
85 g;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
450 ml;[(0, 3, 'B-VOLUME'), (4, 6, 'I-VOLUME')]
250 ml;[(0, 3, 'B-VOLUME'), (4, 6, 'I-VOLUME')]
75г;[(0, 3, 'B-VOLUME')]
12,5г;[(0, 5, 'B-VOLUME')]
300 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
350g;[(0, 4, 'B-VOLUME')]
400гр;[(0, 5, 'B-VOLUME')]
110 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
200 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
400 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
1500 мл / 1450 г;[(0, 4, 'B-VOLUME'), (5, 7, 'I-VOLUME'), (10, 14, 'B-VOLUME'), (15, 16, 'I-VOLUME')]
80 г;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
10 г;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
60 г;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
15 г;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
60 г;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
10 г;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
200 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
70 гр;[(0, 2, 'B-VOLUME'), (3, 5, 'I-VOLUME')]
60 г;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
400г;[(0, 4, 'B-VOLUME')]
750g;[(0, 4, 'B-VOLUME')]
200 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
1488 g;[(0, 4, 'B-VOLUME'), (5, 6, 'I-VOLUME')]
50 g;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
200 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
200 гр;[(0, 3, 'B-VOLUME'), (4, 6, 'I-VOLUME')]
500 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
565 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
80г;[(0, 3, 'B-VOLUME')]
120 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
240 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
60g;[(0, 3, 'B-VOLUME')]
200 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
500г;[(0, 4, 'B-VOLUME')]
250 ml;[(0, 3, 'B-VOLUME'), (4, 6, 'I-VOLUME')]
1400 г;[(0, 4, 'B-VOLUME'), (5, 6, 'I-VOLUME')]
350 г / 372 мл;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME'), (8, 11, 'B-VOLUME'), (12, 14, 'I-VOLUME')]
300 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
15,5 г;[(0, 4, 'B-VOLUME'), (5, 6, 'I-VOLUME')]
175g;[(0, 4, 'B-VOLUME')]
60 g;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
405ml;[(0, 5, 'B-VOLUME')]
45g;[(0, 3, 'B-VOLUME')]
300g;[(0, 4, 'B-VOLUME')]
250ml;[(0, 5, 'B-VOLUME')]
90г;[(0, 3, 'B-VOLUME')]
1kg;[(0, 3, 'B-VOLUME')]
250g;[(0, 4, 'B-VOLUME')]
40g;[(0, 3, 'B-VOLUME')]
71г;[(0, 3, 'B-VOLUME')]
250 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
85g;[(0, 3, 'B-VOLUME')]
70g;[(0, 3, 'B-VOLUME')]
250мл;[(0, 5, 'B-VOLUME')]
250мл;[(0, 5, 'B-VOLUME')]
30мл;[(0, 4, 'B-VOLUME')]
500g;[(0, 4, 'B-VOLUME')]
30мл;[(0, 4, 'B-VOLUME')]
4 x 100 g;[(0, 1, 'B-VOLUME'), (2, 3, 'I-VOLUME'), (4, 7, 'B-VOLUME'), (8, 9, 'I-VOLUME')]
570 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
190гр;[(0, 5, 'B-VOLUME')]
1 кг;[(0, 1, 'B-VOLUME'), (2, 4, 'I-VOLUME')]
150 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
200g;[(0, 4, 'B-VOLUME')]
400г;[(0, 4, 'B-VOLUME')]
750г;[(0, 4, 'B-VOLUME')]
40г;[(0, 3, 'B-VOLUME')]
39,5g;[(0, 5, 'B-VOLUME')]
370 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
35 г;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
50 г;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
500мл;[(0, 5, 'B-VOLUME')]
1л;[(0, 2, 'B-VOLUME')]
1л;[(0, 2, 'B-VOLUME')]
100гр;[(0, 5, 'B-VOLUME')]
250 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
90g;[(0, 3, 'B-VOLUME')]
1 кг відерко;[(0, 1, 'B-VOLUME'), (2, 4, 'I-VOLUME')]
330g;[(0, 4, 'B-VOLUME')]
400г;[(0, 4, 'B-VOLUME')]
250г;[(0, 4, 'B-VOLUME')]
108г;[(0, 4, 'B-VOLUME')]
180г;[(0, 4, 'B-VOLUME')]
200г;[(0, 4, 'B-VOLUME')]
275г;[(0, 4, 'B-VOLUME')]
260г;[(0, 4, 'B-VOLUME')]
50г;[(0, 3, 'B-VOLUME')]
320г;[(0, 4, 'B-VOLUME')]
500г;[(0, 4, 'B-VOLUME')]
500г;[(0, 4, 'B-VOLUME')]
375г;[(0, 4, 'B-VOLUME')]
350г;[(0, 4, 'B-VOLUME')]
400г;[(0, 4, 'B-VOLUME')]
200г;[(0, 4, 'B-VOLUME')]
400г;[(0, 4, 'B-VOLUME')]
1 kg;[(0, 1, 'B-VOLUME'), (2, 4, 'I-VOLUME')]
20g;[(0, 3, 'B-VOLUME')]
300 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
200g;[(0, 4, 'B-VOLUME')]
80г;[(0, 3, 'B-VOLUME')]
80g;[(0, 3, 'B-VOLUME')]
300г;[(0, 4, 'B-VOLUME')]
50 г;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
3кг;[(0, 3, 'B-VOLUME')]
180g;[(0, 4, 'B-VOLUME')]
40 г;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
1штука вес 400 гр;[(0, 6, 'B-VOLUME'), (11, 14, 'B-VOLUME'), (15, 17, 'I-VOLUME')]
300ml;[(0, 5, 'B-VOLUME')]
160г;[(0, 4, 'B-VOLUME')]
8.8oz;[(0, 5, 'B-VOLUME')]
40g;[(0, 3, 'B-VOLUME')]
160 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
230g;[(0, 4, 'B-VOLUME')]
500 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
550g;[(0, 4, 'B-VOLUME')]
144g;[(0, 4, 'B-VOLUME')]
30 g;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
270 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
900g;[(0, 4, 'B-VOLUME')]
150 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
400 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
75 г;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
300 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
225 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
100 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
55 g;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
60 гр;[(0, 2, 'B-VOLUME'), (3, 5, 'I-VOLUME')]
1 кг;[(0, 1, 'B-VOLUME'), (2, 4, 'I-VOLUME')]
300 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
190 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
90г;[(0, 3, 'B-VOLUME')]
100g;[(0, 4, 'B-VOLUME')]
100g;[(0, 4, 'B-VOLUME')]
400 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
210 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
250 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
360 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
180 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
900 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
1pcs;[(0, 4, 'B-VOLUME')]
150г;[(0, 4, 'B-VOLUME')]
1pcs;[(0, 4, 'B-VOLUME')]
450 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
250 мл;[(0, 3, 'B-VOLUME'), (4, 6, 'I-VOLUME')]
400 гр;[(0, 3, 'B-VOLUME'), (4, 6, 'I-VOLUME')]
700g;[(0, 4, 'B-VOLUME')]
190 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
50грамм;[(0, 7, 'B-VOLUME')]
100 грамм;[(0, 3, 'B-VOLUME'), (4, 9, 'I-VOLUME')]
300g;[(0, 4, 'B-VOLUME')]
250g;[(0, 4, 'B-VOLUME')]
400г;[(0, 4, 'B-VOLUME')]
450 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
750 мл;[(0, 3, 'B-VOLUME'), (4, 6, 'I-VOLUME')]
500 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
0,7 л;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
480g;[(0, 4, 'B-VOLUME')]
620g;[(0, 4, 'B-VOLUME')]
100 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
0,2 л;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
450g;[(0, 4, 'B-VOLUME')]
130 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
130gr;[(0, 5, 'B-VOLUME')]
500g;[(0, 4, 'B-VOLUME')]
120g;[(0, 4, 'B-VOLUME')]
35г;[(0, 3, 'B-VOLUME')]
180г;[(0, 4, 'B-VOLUME')]
250 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
125 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
60 g;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
125 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
35 г;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
90g;[(0, 3, 'B-VOLUME')]
500 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
900 мл;[(0, 3, 'B-VOLUME'), (4, 6, 'I-VOLUME')]
0,400 кг;[(0, 5, 'B-VOLUME'), (6, 8, 'I-VOLUME')]
750мл;[(0, 5, 'B-VOLUME')]
